id,sourceNo,location,locationCode,locationNo,localName,scientificName,family,usedParts,processing,plantCategories,plantCategoryCount,diseaseCategories,diseaseCategoryCount
333,321,Fakultas Ilmu Sosial dan Ilmu Politik,FISIP,89,Walisongo,Heptapleurum actinophyllum (Endl.) Lowry & G.M.Plunkett,Araliaceae,Belum ditemukan bagian terapeutik yang terverifikasi.,Belum ditemukan cara pengolahan terapeutik yang terverifikasi.,Tanaman Estetik; Tanaman Toksik,2,,0
334,322,Fakultas Ilmu Sosial dan Ilmu Politik,FISIP,90,Nangka,Artocarpus heterophyllus Lam.,Moraceae,"Buah muda dan matang, biji, daun, kulit batang, dan akar.","Buah dikonsumsi segar atau dimasak; biji direbus, dipanggang, atau dijadikan tepung; bagian lain dibuat ekstrak air atau alkohol untuk penggunaan tradisional dan pengujian nonklinis.",Tanaman Obat; Tanaman Estetik; Tanaman Buah dan Sayuran,3,Gangguan Kardiovaskular; Gangguan Sistem Pencernaan; Gangguan Endokrin; Penyakit Infeksi; Gangguan Onkologi (Kanker),5
335,323,Kawasan Kampus I/Rektorat,Kampus I,1,Kaktus cereus,Cereus hexagonus (L.) Mill.,Cactaceae,Kladodia/batang sukulen,Penggunaan etnomedis secara topikal sebagai preparat tumbuhan pada lesi leishmaniasis; tidak terdapat bukti uji klinis spesifik spesies.,Tanaman Obat; Tanaman Estetik,2,Penyakit Infeksi,1
336,324,Kawasan Kampus I/Rektorat,Kampus I,2,Song of India,Dracaena reflexa Lam.,Asparagaceae,Daun; kulit batang; bagian aerial atau bahan tanaman utuh yang diekstraksi.,"Bahan tanaman dimaserasi dengan metanol dan dipartisi menjadi fraksi n-heksana, kloroform, dan n-butanol. Ekstrak/fraksi dianalisis dengan GC–MS serta diuji in vitro untuk antioksidan, antibakteri, trombolitik, penghambatan tirosinase, asetilkolinesterase, dan butirilkolinesterase; docking digunakan sebagai pendukung mekanistik.",Tanaman Obat; Tanaman Estetik,2,Gangguan Sistem Saraf; Gangguan Kulit (Dermatologi); Gangguan Hematologi; Penyakit Infeksi,4
337,325,Kawasan Kampus I/Rektorat,Kampus I,3,Loropetalum,Loropetalum chinense (R.Br.) Oliv.,Hamamelidaceae,Daun dan/atau bagian aerial; ellagic acid sebagai komponen representatif.,"Bahan tanaman diekstraksi; komponen dianalisis dengan UHPLC-MS/MS, network pharmacology, transkriptomik, lipidomik, dan RT-qPCR, serta diuji pada model kerusakan mukosa gastrointestinal ikan zebra.",Tanaman Obat; Tanaman Estetik,2,Gangguan Sistem Pencernaan,1
338,326,Kawasan Kampus I/Rektorat,Kampus I,4,Mondokaki,Tabernaemontana divaricata (L.) R.Br. ex Roem. & Schult.,Apocynaceae,"Daun, bunga, akar, kulit batang, dan lateks","Bagian tanaman digunakan secara tradisional sebagai rebusan, infus, tumbukan atau sediaan topikal; penelitian menggunakan ekstrak air dan pelarut organik. Lateks memerlukan kehati-hatian.",Tanaman Obat; Tanaman Estetik; Tanaman Toksik,3,Gangguan Sistem Saraf; Gangguan Endokrin; Gangguan Reumatologi; Penyakit Infeksi; Gangguan Onkologi (Kanker),5
339,327,Kawasan Kampus I/Rektorat,Kampus I,5,Sambang dara,Phyllanthus nivosus W.Bull,Phyllanthaceae,Bagian aerial.,"Bagian aerial dimaserasi menggunakan metanol dan diklorometana; ekstrak digunakan dalam uji in vitro/ex vivo dan diberikan oral pada model diabetes tikus. Studi lain menggunakan ekstrak metanol dan campuran poliherbal, tetapi bagian tanaman tidak dinyatakan jelas pada metadata yang dapat diverifikasi.",Tanaman Obat; Tanaman Estetik,2,Gangguan Sistem Pernapasan; Gangguan Sistem Pencernaan; Gangguan Sistem Saraf; Gangguan Endokrin,4
340,328,Kawasan Kampus I/Rektorat,Kampus I,6,Bromelia raksasa,Alcantarea imperialis (Carrière) Harms,Bromeliaceae,Belum ditemukan bagian terapeutik yang terverifikasi.,Belum ditemukan cara pengolahan terapeutik yang terverifikasi.,Tanaman Estetik,1,,0
341,329,Kawasan Kampus I/Rektorat,Kampus I,7,Song of India,Dracaena reflexa Lam.,Asparagaceae,Daun; kulit batang; bagian aerial atau bahan tanaman utuh yang diekstraksi.,"Bahan tanaman dimaserasi dengan metanol dan dipartisi menjadi fraksi n-heksana, kloroform, dan n-butanol. Ekstrak/fraksi dianalisis dengan GC–MS serta diuji in vitro untuk antioksidan, antibakteri, trombolitik, penghambatan tirosinase, asetilkolinesterase, dan butirilkolinesterase; docking digunakan sebagai pendukung mekanistik.",Tanaman Obat; Tanaman Estetik,2,Gangguan Sistem Saraf; Gangguan Kulit (Dermatologi); Gangguan Hematologi; Penyakit Infeksi,4
342,330,Kawasan Kampus I/Rektorat,Kampus I,8,Palem raja,Roystonea regia (Kunth) O.F.Cook,Arecaceae,Buah matang,Fraksi lipid D-004 diperoleh dari buah dan diberikan oral 320 mg/hari selama 6 bulan dalam studi klinis komparatif pada hiperplasia prostat jinak.,Tanaman Obat; Tanaman Estetik; Tanaman Buah dan Sayuran,3,Gangguan Urologi,1
343,331,Kawasan Kampus I/Rektorat,Kampus I,9,Awar-awar,Ficus septica Burm.f.,Moraceae,Daun; akar; kulit batang; buah; lateks.,"Penggunaan tradisional mencakup rebusan, perasan, atau aplikasi topikal. Penelitian memakai ekstrak etanol, metanol, fraksi, dan isolasi senyawa untuk uji antimikroba, antiinflamasi, imunomodulator, sitotoksik, dan model praklinik.",Tanaman Obat; Tanaman Estetik,2,Gangguan Sistem Pencernaan; Gangguan Imunologi; Gangguan Kulit (Dermatologi); Penyakit Infeksi; Gangguan Onkologi (Kanker),5
344,332,Kawasan Kampus I/Rektorat,Kampus I,10,Jambu bol,Syzygium malaccense (L.) Merr. & L.M.Perry,Myrtaceae,Buah; kulit buah; biji; daun; kulit batang atau batang.,"Buah dikonsumsi segar atau diolah sebagai pangan. Penelitian menggunakan ekstrak terstandar dan ekstrak pelarut dari daun, buah, atau batang untuk analisis fitokimia, antioksidan, dan penghambatan enzim terkait glikemia secara in vitro.",Tanaman Obat; Tanaman Estetik; Tanaman Buah dan Sayuran,3,Gangguan Endokrin,1
345,333,Kawasan Kampus I/Rektorat,Kampus I,11,Ravenia,Ravenia spectabilis (Lindl.) Engl.,Rutaceae,Daun.,"Daun dimaserasi dengan metanol; ekstrak dipartisi menjadi fraksi petroleum eter, karbon tetraklorida, kloroform, dan air. Senyawa diisolasi dan fraksi diuji antioksidan, antibakteri, serta trombolitik secara in vitro.",Tanaman Obat; Tanaman Estetik,2,Gangguan Hematologi; Penyakit Infeksi,2
346,334,Kawasan Kampus I/Rektorat,Kampus I,12,Drasena,Dracaena angustifolia (Medik.) Roxb.,Asparagaceae,Bahan tanaman yang digunakan untuk isolasi saponin steroid.,Bahan tanaman diekstraksi dan dipisahkan melalui metode kromatografi untuk mengisolasi saponin steroid. Senyawa diuji terhadap produksi superoksida dan pelepasan elastase pada neutrofil manusia secara in vitro.,Tanaman Obat; Tanaman Estetik,2,Gangguan Imunologi,1
347,335,Kawasan Kampus I/Rektorat,Kampus I,13,Angsana,Pterocarpus indicus Willd.,Fabaceae,Bahan tumbuhan yang diekstraksi dan difraksinasi,Ekstrak kasar difraksinasi secara terpandu bioassay; senyawa hasil isolasi diuji in vitro dan in silico pada proliferasi sel stroma prostat WPMY-1.,Tanaman Obat; Tanaman Estetik,2,Gangguan Urologi,1
348,336,Kawasan Kampus I/Rektorat,Kampus I,14,Biola cantik,Ficus lyrata Warb.,Moraceae,Kulit batang; buah dalam catatan penggunaan pangan.,"Kulit batang dikeringkan dan dibuat ekstrak yang diberikan secara oral pada tikus dengan penyakit hati berlemak akibat diet tinggi lemak. Buah tercatat sebagai bahan pangan dalam basis data penggunaan, tetapi tidak digunakan sebagai dasar aktivitas farmakologi studi kulit batang.",Tanaman Obat; Tanaman Estetik; Tanaman Buah dan Sayuran,3,Gangguan Kardiovaskular; Gangguan Sistem Pencernaan; Gangguan Endokrin; Gangguan Imunologi,4
349,337,Kawasan Kampus I/Rektorat,Kampus I,15,Saga pohon,Adenanthera pavonina L.,Fabaceae,Biji,Biji dibuat ekstrak metanol dan diuji pada model inflamasi serta analgesia hewan; bagian pangan harus dimasak karena biji mentah memiliki potensi toksik.,Tanaman Obat; Tanaman Estetik; Tanaman Toksik; Tanaman Buah dan Sayuran,4,Gangguan Reumatologi,1
350,338,Kawasan Kampus I/Rektorat,Kampus I,16,Soka merah,Ixora coccinea L.,Rubiaceae,Daun; bunga; akar; kulit batang; buah,"Bagian tanaman digunakan sebagai rebusan/dekokta, infusa, tumbukan atau sediaan topikal; penelitian menggunakan ekstrak metanol, etanol, dan alkohol serta fraksinasi pelarut.",Tanaman Obat; Tanaman Estetik; Tanaman Buah dan Sayuran,3,Gangguan Kardiovaskular; Gangguan Sistem Pencernaan; Gangguan Psikiatri; Gangguan Ginekologi dan Obstetri; Gangguan Mata (Oftalmologi); Gangguan Kulit (Dermatologi); Penyakit Infeksi; Gangguan Onkologi (Kanker),8
351,339,Kawasan Kampus I/Rektorat,Kampus I,17,Sambang darah hias,Excoecaria cochinchinensis Lour.,Euphorbiaceae,Bagian aerial; daun,"Bagian aerial dikeringkan, diserbukkan, dan diekstraksi berulang dengan metanol; ekstrak dipartisi bertahap dengan n-heksana, campuran n-heksana-etil asetat, dan etil asetat; penelitian lain menggunakan ekstrak air atau etanol daun.",Tanaman Obat; Tanaman Estetik; Tanaman Toksik,3,Gangguan Sistem Pencernaan; Gangguan Endokrin; Gangguan Urologi; Gangguan Kulit (Dermatologi); Penyakit Infeksi; Gangguan Onkologi (Kanker),6
352,340,Kawasan Kampus I/Rektorat,Kampus I,18,Nephrolepis,Nephrolepis cordifolia (L.) C.Presl,Nephrolepidaceae,"Ental muda, umbi atau rimpang, dan bagian aerial.",Ental muda dan umbi digunakan sebagai pangan setelah pengolahan yang sesuai; ekstrak etanol dan fraksi etil asetat diuji in vitro serta pada model diabetes aloksan pada tikus.,Tanaman Obat; Tanaman Estetik; Tanaman Liar; Tanaman Buah dan Sayuran,4,Gangguan Sistem Pernapasan; Gangguan Endokrin; Gangguan Reumatologi; Gangguan Nutrisi,4
353,341,Kawasan Kampus I/Rektorat,Kampus I,19,Jotang kuda,Synedrella nodiflora (L.) Gaertn.,Asteraceae,Daun atau bagian atas tumbuhan,Ekstrak metanol diuji pada makrofag RAW 264.7 untuk respons inflamasi; penggunaan tradisional umumnya berupa rebusan atau aplikasi tumbuhan.,Tanaman Obat; Tanaman Liar; Tanaman Buah dan Sayuran,3,Gangguan Imunologi,1
354,342,Kawasan Kampus I/Rektorat,Kampus I,20,Song of India,Dracaena reflexa Lam.,Asparagaceae,Daun; kulit batang; bagian aerial atau bahan tanaman utuh yang diekstraksi.,"Bahan tanaman dimaserasi dengan metanol dan dipartisi menjadi fraksi n-heksana, kloroform, dan n-butanol. Ekstrak/fraksi dianalisis dengan GC–MS serta diuji in vitro untuk antioksidan, antibakteri, trombolitik, penghambatan tirosinase, asetilkolinesterase, dan butirilkolinesterase; docking digunakan sebagai pendukung mekanistik.",Tanaman Obat; Tanaman Estetik,2,Gangguan Sistem Saraf; Gangguan Kulit (Dermatologi); Gangguan Hematologi; Penyakit Infeksi,4
355,343,Kawasan Kampus I/Rektorat,Kampus I,21,Soka,Ixora chinensis Lam.,Rubiaceae,Akar; batang; kulit batang; daun; bunga.,"Akar dibuat dekokta untuk keluhan lambung, masa setelah persalinan, dan keluhan bronkial; bunga dibuat dekokta atau infusa segar; akar, batang, daun, bunga, dan kulit batang digunakan sebagai ramuan tradisional. Daun dan kulit batang dikeringkan, diserbukkan, lalu dimaserasi dengan metanol; daun juga diekstraksi dengan metanol atau etanol untuk uji antibakteri dan antioksidan.",Tanaman Obat; Tanaman Estetik; Tanaman Buah dan Sayuran,3,Gangguan Kardiovaskular; Gangguan Sistem Pernapasan; Gangguan Sistem Pencernaan; Gangguan Ginekologi dan Obstetri; Gangguan Reumatologi; Gangguan Kulit (Dermatologi); Gangguan Hematologi; Penyakit Infeksi,8
356,344,Kawasan Kampus I/Rektorat,Kampus I,22,Cemara laut,Casuarina equisetifolia L.,Casuarinaceae,Akar; kulit batang; ranting hijau/branchlets dan daun sisik; bunga/perbungaan; buah atau runjung; biji.,"Bagian tanaman digunakan sebagai rebusan/dekokta dalam laporan tradisional. Penelitian menggunakan ekstrak air, etanol, metanol, metanol 80%, serta fraksi pelarut; ekstrak buah metanol diuji antiartritis, ekstrak bagian vegetatif diuji antimikroba/sitotoksik, ekstrak diuji nefroprotektif secara oral, dan ekstrak etanol perbungaan diuji toksisitas akut.",Tanaman Obat; Tanaman Estetik,2,Gangguan Sistem Pernapasan; Gangguan Sistem Pencernaan; Gangguan Ginjal; Gangguan Sistem Saraf; Gangguan Endokrin; Gangguan Reumatologi; Gangguan Kulit (Dermatologi); Penyakit Infeksi; Gangguan Onkologi (Kanker),9
357,345,Kawasan Kampus I/Rektorat,Kampus I,23,Tanjung,Mimusops elengi L.,Sapotaceae,Akar; kulit batang dan batang; daun; bunga; buah; biji.,"Kulit batang, daun, bunga, akar, buah, dan biji digunakan sebagai dekokta, infusa, serbuk, pasta atau bahan yang dikunyah dalam penggunaan tradisional. Penelitian menggunakan ekstrak air, etanol, metanol, petroleum eter, kloroform, dan fraksi/isolat untuk pengujian in vitro dan in vivo.",Tanaman Obat; Tanaman Estetik; Tanaman Buah dan Sayuran,3,Gangguan Kardiovaskular; Gangguan Sistem Pencernaan; Gangguan Sistem Saraf; Gangguan Endokrin; Gangguan Urologi; Gangguan Imunologi; Gangguan Reumatologi; Gangguan Kulit (Dermatologi); Penyakit Infeksi; Gangguan Onkologi (Kanker),10
358,346,Kawasan Kampus I/Rektorat,Kampus I,24,Glodokan tiang,Monoon longifolium (Sonn.) B.Xue & R.M.K.Saunders,Annonaceae,Daun; kulit batang dan batang; akar; buah; biji.,"Literatur menggunakan nama lama Polyalthia longifolia dan merangkum infusa/dekokta tradisional, ekstrak air, etanol, metanol, dan pelarut lain, fraksinasi serta isolasi senyawa, kemudian pengujian in vitro dan pada hewan. Buah/bagian tertentu juga dibahas dalam konteks nutrisi atau pakan.",Tanaman Obat; Tanaman Estetik; Tanaman Buah dan Sayuran,3,Gangguan Kardiovaskular; Gangguan Sistem Pencernaan; Gangguan Sistem Saraf; Gangguan Endokrin; Gangguan Imunologi; Gangguan Reumatologi; Penyakit Infeksi; Gangguan Onkologi (Kanker),8
359,347,Kawasan Kampus I/Rektorat,Kampus I,25,Dracaena,Dracaena fragrans (L.) Ker Gawl.,Asparagaceae,Akar,Akar direbus dengan air dan diminum dalam praktik etnomedis untuk keluhan terkait HIV/AIDS; bukti ini tidak membuktikan efektivitas klinis atau peningkatan CD4.,Tanaman Obat; Tanaman Estetik; Tanaman Buah dan Sayuran,3,Penyakit Infeksi,1
360,348,Kawasan Kampus I/Rektorat,Kampus I,26,Palem kuning,Chrysalidocarpus lutescens H.Wendl.,Arecaceae,Daun,Daun diekstraksi dengan etanol/alkohol dan dipisahkan secara kromatografi; ekstrak daun juga digunakan dalam sintesis hijau nanopartikel perak untuk uji antibakteri.,Tanaman Obat; Tanaman Estetik,2,Gangguan Sistem Pencernaan; Penyakit Infeksi,2
361,349,Kawasan Kampus I/Rektorat,Kampus I,27,Tabernaemontana,Tabernaemontana elegans Stapf,Apocynaceae,Akar dan alkaloid yang diisolasi,Akar dibuat fraksi alkaloid untuk uji antimikroba dan sitotoksisitas; alkaloid bisindol terisolasi diuji pada sel kanker kolon HCT116.,Tanaman Obat; Tanaman Estetik; Tanaman Toksik,3,Penyakit Infeksi; Gangguan Onkologi (Kanker),2
362,350,Kawasan Kampus I/Rektorat,Kampus I,28,Cempaka,Magnolia champaca (L.) Baill. ex Pierre,Magnoliaceae,Daun,"Daun dibuat ekstrak dan diuji pada model jaringan terisolasi serta hewan untuk aktivitas pada saluran cerna, jalan napas, dan sistem kardiovaskular.",Tanaman Obat; Tanaman Estetik,2,Gangguan Kardiovaskular; Gangguan Sistem Pernapasan; Gangguan Sistem Pencernaan,3
363,351,Kawasan Kampus I/Rektorat,Kampus I,29,Cemara norfolk,Araucaria heterophylla (Salisb.) Franco,Araucariaceae,Daun,Ekstrak daun distandardisasi dengan UPLC-MS/MS dan diformulasikan sebagai gel nanoemulsi; aktivitas antibakteri diuji secara laboratorium.,Tanaman Obat; Tanaman Estetik; Tanaman Buah dan Sayuran,3,Penyakit Infeksi,1
364,352,Kawasan Kampus I/Rektorat,Kampus I,30,Ara,Ficus padana Burm.f.,Moraceae,Belum ditemukan bagian terapeutik yang terverifikasi.,Belum ditemukan cara pengolahan terapeutik yang terverifikasi.,Tanaman Estetik,1,,0
365,353,Kawasan Kampus I/Rektorat,Kampus I,31,Mengkudu,Morinda citrifolia L.,Rubiaceae,Akar; kulit batang; daun; bunga; buah dan jus buah; biji.,"Buah dikonsumsi segar atau difermentasi menjadi jus. Penggunaan tradisional mencakup infusa atau dekokta daun, akar, dan kulit batang. Penelitian menggunakan ekstrak air, etanol, metanol, fraksi, polisakarida, dan senyawa terisolasi pada uji in vitro serta model hewan.",Tanaman Obat; Tanaman Estetik; Tanaman Buah dan Sayuran,3,Gangguan Kardiovaskular; Gangguan Sistem Pencernaan; Gangguan Sistem Saraf; Gangguan Endokrin; Gangguan Imunologi; Gangguan Kulit (Dermatologi); Penyakit Infeksi; Gangguan Onkologi (Kanker); Gangguan Nutrisi,9
366,354,Kawasan Kampus I/Rektorat,Kampus I,32,Osmoxylon,Osmoxylon lineare (Merr.) Philipson,Araliaceae,Belum ditemukan bagian terapeutik yang terverifikasi.,Belum ditemukan cara pengolahan terapeutik yang terverifikasi.,Tanaman Estetik,1,,0
367,355,Kawasan Kampus I/Rektorat,Kampus I,33,Kamboja Jepang,Adenium obesum (Forssk.) Roem. & Schult.,Apocynaceae,"Akar, kulit batang, daun, bunga, dan lateks",Bagian tumbuhan dibuat ekstrak atau preparat tradisional; review melaporkan aktivitas antimikroba dan antikanker nonklinis serta kandungan glikosida jantung yang toksik.,Tanaman Obat; Tanaman Estetik; Tanaman Toksik,3,Penyakit Infeksi; Gangguan Onkologi (Kanker),2
368,356,Kawasan Kampus I/Rektorat,Kampus I,34,Peace lily,Spathiphyllum blandum Schott,Araceae,Belum ditemukan bagian terapeutik yang terverifikasi.,Belum ditemukan cara pengolahan terapeutik yang terverifikasi.,Tanaman Estetik,1,,0
369,357,Kawasan Kampus I/Rektorat,Kampus I,35,Ficus,Ficus benjamina L.,Moraceae,Akar; kulit batang; daun; buah; lateks.,"Penggunaan tradisional mencakup rebusan, ekstrak, dan aplikasi lokal. Penelitian memakai ekstrak air, etanol, metanol, fraksi, minyak atau lateks, serta uji antimikroba, antiinflamasi, sitotoksik, dan aktivitas lain secara in vitro atau praklinik.",Tanaman Obat; Tanaman Estetik; Tanaman Toksik; Tanaman Buah dan Sayuran,4,Gangguan Imunologi; Gangguan Kulit (Dermatologi); Penyakit Infeksi; Gangguan Onkologi (Kanker),4
370,358,Kawasan Kampus I/Rektorat,Kampus I,36,Kalatea,Goeppertia bachemiana (É.Morren) Borchs. & S.Suárez,Marantaceae,Belum ditemukan bagian terapeutik yang terverifikasi.,Belum ditemukan cara pengolahan terapeutik yang terverifikasi.,Tanaman Estetik,1,,0
371,359,Kawasan Kampus I/Rektorat,Kampus I,37,Bintaro,Cerbera manghas L.,Apocynaceae,Belum ditemukan bagian terapeutik yang terverifikasi.,Belum ditemukan cara pengolahan terapeutik yang terverifikasi.,Tanaman Estetik; Tanaman Toksik,2,,0
372,360,Kawasan Kampus I/Rektorat,Kampus I,38,Mahang,Macaranga tanarius (L.) Müll.Arg.,Euphorbiaceae,Daun,"Daun diekstraksi dan dipartisi; fraksi etil asetat dipisahkan dengan kromatografi untuk isolasi prenilflavonoid, kemudian diuji terhadap asetilkolinesterase dan dianalisis dengan docking.",Tanaman Obat; Tanaman Estetik; Tanaman Liar,3,Gangguan Sistem Saraf,1
373,361,Kawasan Kampus I/Rektorat,Kampus I,39,Sirih hutan,Piper aduncum L.,Piperaceae,"Daun, buah, akar, dan minyak atsiri bagian aerial.","Daun dan akar dibuat sebagai dekokta atau ekstrak; minyak atsiri diperoleh dengan hidrodistilasi dan dianalisis menggunakan GC-MS, kemudian diuji in vitro terhadap bakteri, jamur, dan protozoa.",Tanaman Obat; Tanaman Estetik; Tanaman Toksik; Tanaman Liar,4,Gangguan Sistem Pencernaan; Gangguan Kulit (Dermatologi); Penyakit Infeksi; Gangguan Onkologi (Kanker),4
374,362,Kawasan Kampus I/Rektorat,Kampus I,40,Agave,Agave demeesteriana Jacobi,Asparagaceae,Belum ditemukan bagian terapeutik yang terverifikasi.,Belum ditemukan cara pengolahan terapeutik yang terverifikasi.,Tanaman Estetik,1,,0
375,363,Kawasan Kampus I/Rektorat,Kampus I,41,Mahang,Macaranga tanarius (L.) Müll.Arg.,Euphorbiaceae,Daun,"Daun diekstraksi dan dipartisi; fraksi etil asetat dipisahkan dengan kromatografi untuk isolasi prenilflavonoid, kemudian diuji terhadap asetilkolinesterase dan dianalisis dengan docking.",Tanaman Obat; Tanaman Estetik; Tanaman Liar,3,Gangguan Sistem Saraf,1
376,364,Kawasan Kampus I/Rektorat,Kampus I,42,Cabai rawit,Capsicum frutescens L.,Solanaceae,Buah.,"Buah dikonsumsi sebagai bumbu atau sayuran. Dalam penelitian, buah beberapa genotipe diekstraksi untuk analisis fenolik dan flavonoid, aktivitas antioksidan, serta penghambatan α-glukosidase in vitro. Ekstrak pekat tidak disamakan dengan konsumsi kuliner.",Tanaman Obat; Tanaman Estetik; Tanaman Toksik; Tanaman Buah dan Sayuran,4,Gangguan Endokrin,1
377,365,Kawasan Kampus I/Rektorat,Kampus I,43,Anthurium,Anthurium radicans K.Koch & Haage,Araceae,Belum ditemukan bagian terapeutik yang terverifikasi.,Belum ditemukan cara pengolahan terapeutik yang terverifikasi.,Tanaman Estetik,1,,0
378,366,Kawasan Kampus I/Rektorat,Kampus I,44,Bunga telang,Clitoria ternatea L.,Fabaceae,Akar; daun; bunga; biji; seluruh bagian aerial.,"Penggunaan tradisional mencakup dekokta, infusa, serbuk, dan pasta. Bunga juga digunakan sebagai pewarna atau minuman pangan. Penelitian memakai ekstrak air, etanol, metanol, fraksi, serta pemberian oral pada model hewan.",Tanaman Obat; Tanaman Estetik; Tanaman Toksik; Tanaman Buah dan Sayuran,4,Gangguan Sistem Pencernaan; Gangguan Sistem Saraf; Gangguan Psikiatri; Gangguan Endokrin; Gangguan Imunologi; Penyakit Infeksi,6
379,367,Kawasan Kampus I/Rektorat,Kampus I,45,Aloe,Aloe vera (L.) Burm.f.,Asphodelaceae,Gel daun; lateks daun,Gel daun digunakan secara topikal pada luka; lateks dipisahkan sebagai bagian berpotensi toksik,Tanaman Obat; Tanaman Estetik; Tanaman Toksik; Tanaman Buah dan Sayuran,4,Gangguan Kulit (Dermatologi),1
380,368,Kawasan Kampus I/Rektorat,Kampus I,46,Kemangi hutan,Ocimum americanum L.,Lamiaceae,Daun; bunga; bagian aerial; minyak atsiri.,"Daun dan bagian aerial digunakan sebagai infusa atau dekokta dan sebagai bahan pangan aromatik. Penelitian menggunakan ekstrak air, etanol, metanol, serta minyak atsiri hasil distilasi untuk uji farmakologi dan antimikroba.",Tanaman Obat; Tanaman Toksik; Tanaman Buah dan Sayuran,3,Gangguan Kardiovaskular; Gangguan Sistem Pernapasan; Gangguan Sistem Pencernaan; Gangguan Imunologi; Gangguan Mata (Oftalmologi); Penyakit Infeksi,6
381,369,Kawasan Kampus I/Rektorat,Kampus I,47,Sawo duren,Chrysophyllum cainito L.,Sapotaceae,Kulit batang; buah,Kulit batang dikeringkan dan dimaserasi dengan air; buah dikonsumsi,Tanaman Obat; Tanaman Estetik; Tanaman Buah dan Sayuran,3,Gangguan Endokrin,1
382,370,Kawasan Kampus I/Rektorat,Kampus I,48,Mahoni daun lebar,Swietenia macrophylla King,Meliaceae,Biji (utama); daun dan kulit batang dilaporkan dalam literatur pendukung.,Biji dikeringkan menjadi serbuk atau diekstraksi dengan air/pelarut organik; fraksi dan ligan PPARγ diuji pada sel dan model hewan.,Tanaman Obat; Tanaman Estetik,2,Gangguan Endokrin,1
383,371,Kawasan Kampus I/Rektorat,Kampus I,49,Ficus,Ficus benghalensis L.,Moraceae,Kulit batang; buah,Kulit batang dibuat ekstrak hidroalkohol; buah dikonsumsi,Tanaman Obat; Tanaman Estetik; Tanaman Buah dan Sayuran,3,Gangguan Endokrin,1
384,372,Kawasan Kampus I/Rektorat,Kampus I,50,Daun kari,Bergera koenigii L.,Rutaceae,Daun; buah; biji; akar,"Daun digunakan segar, sebagai campuran bumbu, dikeringkan menjadi bubuk, atau dibuat ekstrak",Tanaman Obat; Tanaman Estetik; Tanaman Buah dan Sayuran,3,Gangguan Sistem Pencernaan; Gangguan Endokrin; Penyakit Infeksi,3
385,373,Kawasan Kampus I/Rektorat,Kampus I,51,Mahkota duri,Euphorbia milii Des Moul.,Euphorbiaceae,Bagian aerial; getah,Bagian aerial dibuat ekstrak etanol untuk uji praklinik; getah dipisahkan sebagai bahan berpotensi toksik/iritan,Tanaman Obat; Tanaman Estetik; Tanaman Toksik,3,Gangguan Reumatologi,1
386,374,Kawasan Kampus I/Rektorat,Kampus I,52,Pacar air,Impatiens balsamina L.,Balsaminaceae,Bunga; batang; daun; biji,Digunakan sebagai ramuan tradisional; ekstrak hidroalkohol/hexana diteliti; bunga juga dibuat minuman/teh,Tanaman Obat; Tanaman Estetik; Tanaman Toksik; Tanaman Buah dan Sayuran,4,Gangguan Sistem Pencernaan; Gangguan Reumatologi; Gangguan Kulit (Dermatologi); Penyakit Infeksi,4
387,375,Kawasan Kampus I/Rektorat,Kampus I,53,Sawo kecik,Manilkara kauki (L.) Dubard,Sapotaceae,Belum ditemukan bagian terapeutik yang terverifikasi.,Belum ditemukan cara pengolahan terapeutik yang terverifikasi.,Tanaman Estetik; Tanaman Buah dan Sayuran,2,,0
388,376,Kawasan Kampus I/Rektorat,Kampus I,54,J.,Citrus × limon (L.) Osbeck,Rutaceae,"Buah, sari buah, kulit buah, bunga, dan daun",Buah dikonsumsi atau diperas; kulit digunakan sebagai zest atau diekstraksi/didistilasi untuk memperoleh minyak atsiri,Tanaman Obat; Tanaman Estetik; Tanaman Buah dan Sayuran,3,Penyakit Infeksi; Gangguan Onkologi (Kanker),2
389,377,Kawasan Kampus I/Rektorat,Kampus I,55,Alpukat,Persea americana Mill.,Lauraceae,Akar; kulit batang dan batang; daun; bunga; buah dan kulit buah; biji.,"Buah dikonsumsi segar atau sebagai pangan olahan. Daun, akar, dan kulit batang digunakan sebagai infusa/dekokta; daun, biji, kulit buah, dan bagian lain diekstraksi dengan air, etanol, metanol, hidroalkohol, atau pelarut lain untuk uji farmakologi. Minyak buah/biji dan fraksi/isolat juga dilaporkan.",Tanaman Obat; Tanaman Estetik; Tanaman Toksik; Tanaman Buah dan Sayuran,4,Gangguan Kardiovaskular; Gangguan Sistem Pencernaan; Gangguan Ginjal; Gangguan Sistem Saraf; Gangguan Endokrin; Gangguan Urologi; Gangguan Reumatologi; Gangguan Kulit (Dermatologi); Penyakit Infeksi; Gangguan Onkologi (Kanker),10
390,378,Kawasan Kampus I/Rektorat,Kampus I,56,Durian,Durio zibethinus L.,Malvaceae,Daging buah; kulit atau rind; biji; tepung kulit; polisakarida kulit buah.,"Daging buah dikonsumsi segar atau difermentasi sebagai pangan. Penelitian mengolah kulit dan biji menjadi tepung, gum, ekstrak, atau fraksi polisakarida; dilakukan pengujian antiinflamasi, antimikroba, sitotoksik, penyembuhan luka, dan model konstipasi.",Tanaman Obat; Tanaman Buah dan Sayuran,2,Gangguan Sistem Pencernaan; Gangguan Imunologi; Gangguan Kulit (Dermatologi); Penyakit Infeksi; Gangguan Onkologi (Kanker),5
